generation,best,mean,worst
92,16.878197321438098,-193.11457991184596,-867.7260073932675
93,26.54411626852659,-187.0448714417049,-963.3078172222525
94,-17.88904432981229,-186.66771935542823,-1185.7639561118754
95,-7.5552579362244785,-184.66603051335068,-1186.5919014026242
96,-26.078639117838406,-185.09993576003734,-2502.942383662933
97,-13.524931239244637,-189.34055009656583,-1126.109816561981
98,-3.3775230396388736,-179.77487003327286,-1192.0383272475267
99,-29.133752990650578,-181.00705608833383,-1041.1180398996528
100,-43.52619883653201,-188.0836358251468,-1131.3704493963892
101,25.558166589645136,-194.07467251613397,-1708.1962973251648
102,-37.873571898729615,-184.1831576342975,-1695.3570285721346
103,-41.25582817390216,-196.3578447858771,-1488.530467873441
104,11.520294289722548,-185.24313770508562,-961.7763623956197
105,50.98993209657041,-206.30563010464343,-1534.8299293385728
106,-37.040181785401415,-188.28564945781318,-1014.5172425236636
107,-49.86438196943081,-182.1726402581869,-1216.5202775778455
108,-44.470061155960956,-205.42884800748567,-1643.3244451470164
109,-44.436564879854664,-178.02286586312013,-915.9362948729444
110,0.13993715484369793,-194.61466517114354,-1175.555954256353
111,-4.987703108710538,-219.41505514267902,-3698.7850141150516
112,-28.643850707789905,-201.73513908974573,-1273.8218668182296
113,-24.72288925996502,-209.5919512185943,-1790.1315885185566
114,-35.03790814750613,-202.43520121368923,-1126.676142812199
115,-21.58853021630024,-201.72603845605892,-1232.3555836650662
116,-23.42763694722468,-198.66899859862323,-1288.074023871649
117,-28.610498643915218,-183.12538305706892,-1113.2170136574425
118,-24.8272096831424,-199.94749763250445,-992.8706039624099
119,-32.42764991797947,-189.1209715978518,-1065.8637002107164
120,-2.727865138124031,-172.54084599391993,-840.7483504589482
121,-2.4364115468050094,-187.6579997565435,-858.2611379935998
122,-29.564470848215098,-190.28805909579032,-1664.9222121578362
123,-3.6378098069960316,-181.35917421963606,-1186.0066355581632
124,-7.252632736522638,-180.7855508931374,-1163.70028465653
125,13.400425184127252,-182.93356763550577,-784.9065627834538
126,10.850747238903523,-188.12557155905233,-1698.9997905778753
127,-19.24682230837316,-192.3991628066707,-929.2531688346644
128,-8.151114720354888,-189.1515313308512,-953.3163357392237
129,-1.977460622879524,-190.08526917867596,-1451.131341782486
130,11.651023049566163,-192.53484893100597,-1251.128109049387
131,-19.323939933658355,-190.01452358460222,-1839.9996067989848
132,-6.646895082616562,-191.49640154864434,-1258.982300345373
133,7.877372308533476,-184.7905566813861,-1154.0847526727096
134,-25.203732183873516,-202.6447285705368,-1074.3640689849206
